"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2025","1","",162912,2093274,2108248,2106721,34061368377,11693532196,45770565,1246,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2203,1.4,23090,1.1,17859,0.9,11717,0.6,1566103094,4.8,124577371,1.1,-7389068,-13.9,47,3.9
"01000","1","10","51","0","2025","1","",1278,59044,58968,58714,1520285727,0,0,1985,"",1.55,1.44,1.44,1.44,1.75,0.00,0.00,1.21,"",13,1.0,1487,2.6,1130,2.0,806,1.4,94371393,6.6,0,0.0,0,0.0,86,4.5
"01000","2","10","51","0","2025","1","",1415,109982,111618,112008,1907232291,1145625,2291,1319,"",1.45,1.67,1.67,1.68,1.79,0.03,0.12,1.07,"",-11,-0.8,7352,7.2,6847,6.5,6654,6.3,187606547,10.9,909304,384.8,1619,240.9,50,3.9
"01000","3","10","51","0","2025","1","",3798,226895,227257,228517,3137103382,122766779,362473,1060,"",1.63,1.12,1.11,1.12,1.18,0.97,1.65,1.05,"",17,0.4,4531,2.0,4517,2.0,4249,1.9,176226360,6.0,7926964,6.9,-6734,-1.8,39,3.8
"01000","5","10","51","0","2025","1","",156421,1697353,1710405,1707482,27496746977,11569619792,45405801,1240,"",0.99,0.95,0.95,0.95,0.93,1.00,1.00,0.98,"",2184,1.4,9720,0.6,5365,0.3,8,0.0,1107898794,4.2,115741103,1.0,-7383953,-14.0,46,3.9
"01000","8","10","96","0","2025","1","",6491,395921,397843,399239,6564621400,123912404,364764,1270,"",1.57,1.28,1.27,1.28,1.43,0.76,1.52,1.12,"",19,0.3,13370,3.5,12494,3.2,11709,3.0,458204300,7.5,8836268,7.7,-5115,-1.4,50,4.1
"01001","0","10","70","0","2025","1","",1160,12694,12740,12917,167118563,63092125,280980,1006,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",49,4.4,663,5.5,709,5.9,815,6.7,13421119,8.7,4264333,7.2,-11761,-4.0,25,2.5
"01001","1","10","71","0","2025","1","",12,100,94,96,1757540,0,0,1399,"",2.05,0.40,0.38,0.39,0.41,0.00,0.00,1.06,"",1,9.1,8,8.7,-4,-4.1,-7,-6.8,24987,1.4,0,0.0,0,0.0,34,2.5
"01001","2","10","71","0","2025","1","",20,684,680,685,8372257,0,0,943,"",2.88,1.72,1.68,1.67,1.60,0.00,0.00,0.95,"",0,0.0,41,6.4,36,5.6,39,6.0,569693,7.3,0,0.0,0,0.0,11,1.2
"01001","3","10","71","0","2025","1","",32,1900,1885,1917,23373170,139537,279,946,"",1.93,1.55,1.52,1.53,1.79,0.21,0.21,1.17,"",0,0.0,-10,-0.5,-12,-0.6,16,0.8,570766,2.5,3441,2.5,7,2.6,24,2.6
