"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2025","2","",163898,2119537,2124978,2125933,33083834092,2413048875,11755868,1198,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3206,2.0,16098,0.8,14764,0.7,9667,0.5,1544589473,4.9,-46175894,-1.9,-2305643,-16.4,48,4.2
"01000","1","10","51","0","2025","2","",1275,58547,58125,58050,1472024208,0,0,1944,"",1.55,1.45,1.45,1.45,1.78,0.00,0.00,1.23,"",10,0.8,479,0.8,124,0.2,-12,0.0,39691453,2.8,0,0.0,0,0.0,46,2.4
"01000","2","10","51","0","2025","2","",1418,111762,111402,109732,1954787426,172559,546,1355,"",1.46,1.67,1.67,1.67,1.71,0.01,0.05,1.02,"",-8,-0.6,6146,5.8,6021,5.7,5348,5.1,190844618,10.8,87244,102.3,376,221.2,64,5.0
"01000","3","10","51","0","2025","2","",3800,228873,230665,232365,3213823155,16993047,53883,1072,"",1.63,1.11,1.12,1.16,1.09,0.40,0.83,0.97,"",5,0.1,3801,1.7,4274,1.9,4425,1.9,174360638,5.7,-427683,-2.5,-2425,-4.3,40,3.9
"01000","5","10","51","0","2025","2","",157405,1720355,1724786,1725786,26443199303,2395883269,11701439,1180,"",0.99,0.95,0.95,0.95,0.94,1.02,1.00,0.99,"",3199,2.1,5672,0.3,4345,0.3,-94,0.0,1139692764,4.5,-45835455,-1.9,-2303594,-16.4,49,4.3
"01000","8","10","96","0","2025","2","",6493,399182,400192,400147,6640634789,17165606,54429,1278,"",1.58,1.28,1.28,1.30,1.35,0.29,0.72,1.05,"",7,0.1,10426,2.7,10419,2.7,9761,2.5,404896709,6.5,-340439,-1.9,-2049,-3.6,47,3.8
"01001","0","10","70","0","2025","2","",1180,13022,13091,13125,169231693,14800677,79353,995,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",67,6.0,766,6.2,717,5.8,672,5.4,14163257,9.1,1140839,8.4,9026,12.8,30,3.1
"01001","1","10","71","0","2025","2","",12,96,88,87,1390128,0,0,1184,"",2.03,0.39,0.36,0.35,0.33,0.00,0.00,0.90,"",1,9.1,-5,-5.0,-9,-9.3,-5,-5.4,-138891,-9.1,0,0.0,0,0.0,-33,-2.7
"01001","2","10","71","0","2025","2","",20,688,684,685,9811868,0,0,1101,"",2.86,1.67,1.67,1.68,1.67,0.00,0.00,1.00,"",0,0.0,42,6.5,35,5.4,31,4.7,906171,10.2,0,0.0,0,0.0,47,4.5
"01001","3","10","71","0","2025","2","",32,1933,1938,1926,24913093,4464,9,992,"",1.91,1.53,1.53,1.55,1.65,0.02,0.02,1.08,"",0,0.0,28,1.5,5,0.3,7,0.4,1062979,4.5,-5940,-57.1,-12,-57.1,36,3.8
