,ZIP,CBSA,Unnamed: 0,city,state,res_ratio,bus_ratio,oth_ratio,tot_ratio
0,57422,10100,,,,,,,
1,57402,10100,,,,,,,
2,57439,10100,,,,,,,
3,57456,10100,,,,,,,
4,57451,10100,,,,,,,
5,57401,10100,,,,,,,
6,57475,10100,,,,,,,
7,57445,10100,,,,,,,
8,57433,10100,,,,,,,
9,57448,10100,,,,,,,
10,57435,10100,,,,,,,
11,57454,10100,,,,,,,
12,57479,10100,,,,,,,
13,57428,10100,,,,,,,
14,57460,10100,,,,,,,
15,57434,10100,,,,,,,
16,57427,10100,,,,,,,
17,57441,10100,,,,,,,
18,57449,10100,,,,,,,
19,57474,10100,,,,,,,
20,57426,10100,,,,,,,
21,57466,10100,,,,,,,
22,57471,10100,,,,,,,
23,57446,10100,,,,,,,
24,57481,10100,,,,,,,
25,57432,10100,,,,,,,
26,57461,10100,,,,,,,
27,98537,10140,,,,,,,
28,98568,10140,,,,,,,
29,98562,10140,,,,,,,
30,98571,10140,,,,,,,
31,98547,10140,,,,,,,
32,98536,10140,,,,,,,
33,98575,10140,,,,,,,
34,98579,10140,,,,,,,
35,98569,10140,,,,,,,
36,98583,10140,,,,,,,
37,98595,10140,,,,,,,
38,98535,10140,,,,,,,
39,98520,10140,,,,,,,
40,98559,10140,,,,,,,
41,98550,10140,,,,,,,
42,98552,10140,,,,,,,
43,98541,10140,,,,,,,
44,98566,10140,,,,,,,
45,98526,10140,,,,,,,
46,98557,10140,,,,,,,
47,98587,10140,,,,,,,
48,98563,10140,,,,,,,
49,79508,10180,,,,,,,
50,79561,10180,,,,,,,
51,79563,10180,,,,,,,
52,79603,10180,,,,,,,
53,79520,10180,,,,,,,
54,79501,10180,,,,,,,
55,79525,10180,,,,,,,
56,79503,10180,,,,,,,
57,79560,10180,,,,,,,
58,79601,10180,,,,,,,
59,79541,10180,,,,,,,
60,79604,10180,,,,,,,
61,79567,10180,,,,,,,
62,79608,10180,,,,,,,
63,79553,10180,,,,,,,
64,79606,10180,,,,,,,
65,79697,10180,,,,,,,
66,79698,10180,,,,,,,
67,79699,10180,,,,,,,
68,76437,10180,,,,,,,
69,79530,10180,,,,,,,
70,79605,10180,,,,,,,
71,79607,10180,,,,,,,
72,79504,10180,,,,,,,
73,79536,10180,,,,,,,
74,79510,10180,,,,,,,
75,79533,10180,,,,,,,
76,76464,10180,,,,,,,
77,76443,10180,,,,,,,
78,79562,10180,,,,,,,
79,79602,10180,,,,,,,
80,76469,10180,,,,,,,
81,79521,10180,,,,,,,
82,79519,10180,,,,,,,
83,79566,10180,,,,,,,
84,74825,10220,,,,,,,
85,74821,10220,,,,,,,
86,74843,10220,,,,,,,
87,74844,10220,,,,,,,
88,74831,10220,,,,,,,
89,74842,10220,,,,,,,
90,74871,10220,,,,,,,
91,74865,10220,,,,,,,
92,74872,10220,,,,,,,
93,74820,10220,,,,,,,
94,74572,10220,,,,,,,
95,49220,10300,,,,,,,
96,49286,10300,,,,,,,
97,49247,10300,,,,,,,
98,49238,10300,,,,,,,
99,49253,10300,,,,,,,
100,49230,10300,,,,,,,
101,49267,10300,,,,,,,
102,49288,10300,,,,,,,
103,49279,10300,,,,,,,
104,49233,10300,,,,,,,
105,49265,10300,,,,,,,
106,49289,10300,,,,,,,
107,49268,10300,,,,,,,
108,49287,10300,,,,,,,
109,49248,10300,,,,,,,
110,49256,10300,,,,,,,
111,49235,10300,,,,,,,
112,48176,10300,,,,,,,
113,48160,10300,,,,,,,
114,49276,10300,,,,,,,
115,49221,10300,,,,,,,
116,49229,10300,,,,,,,
117,49236,10300,,,,,,,
118,49228,10300,,,,,,,
119,690,10380,,,,,,,
120,662,10380,,,,,,,
121,610,10380,,,,,,,
122,604,10380,,,,,,,
123,677,10380,,,,,,,
124,603,10380,,,,,,,
125,680,10380,,,,,,,
126,602,10380,,,,,,,
127,676,10380,,,,,,,
128,605,10380,,,,,,,
129,685,10380,,,,,,,
130,44202,10420,,,,,,,
131,44241,10420,,,,,,,
132,44250,10420,,,,,,,
133,44429,10420,,,,,,,
134,44281,10420,,,,,,,
135,44396,10420,,,,,,,
136,44230,10420,,,,,,,
137,44601,10420,,,,,,,
138,44265,10420,,,,,,,
139,44141,10420,,,,,,,
140,44222,10420,,,,,,,
141,44264,10420,,,,,,,
142,44278,10420,,,,,,,
143,44301,10420,,,,,,,
