"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2025","4","",167381,2133327,2136586,2135278,36119876923,1654920787,9591627,1301,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6069,3.8,15421,0.7,10338,0.5,11077,0.5,1511163646,4.4,-21035581,-1.3,-1335382,-12.2,47,3.7
"01000","1","10","51","0","2025","4","",1258,55000,54956,54689,1431100068,0,0,2006,"",1.54,1.45,1.45,1.44,1.80,0.00,0.00,1.24,"",-16,-1.3,-3353,-5.7,-3564,-6.1,-4128,-7.0,-65853377,-4.4,0,0.0,0,0.0,40,2.0
"01000","2","10","51","0","2025","4","",1421,112137,112336,111942,2133940017,181339,363,1464,"",1.45,1.67,1.67,1.67,1.77,0.01,0.02,1.06,"",-4,-0.3,4914,4.6,4591,4.3,4182,3.9,178480468,9.1,143554,379.9,287,377.6,66,4.7
"01000","3","10","51","0","2025","4","",3811,231109,232142,232234,3411017592,10482061,37606,1132,"",1.64,1.12,1.12,1.13,1.15,0.28,0.70,1.02,"",17,0.4,4788,2.1,4364,1.9,4514,2.0,191090491,5.9,-2941203,-21.9,-53147,-58.6,42,3.9
"01000","5","10","51","0","2025","4","",160891,1735081,1737152,1736413,29143819246,1644257387,9553658,1291,"",0.99,0.95,0.95,0.95,0.94,1.03,1.00,0.98,"",6072,3.9,9072,0.5,4947,0.3,6509,0.4,1207446064,4.3,-18237932,-1.1,-1282522,-11.8,48,3.9
"01000","8","10","96","0","2025","4","",6490,398246,399434,398865,6976057677,10663400,37969,1345,"",1.57,1.28,1.28,1.28,1.40,0.19,0.55,1.09,"",-3,0.0,6349,1.6,5391,1.4,4568,1.2,303717582,4.6,-2797649,-20.8,-52860,-58.2,40,3.1
"01001","0","10","70","0","2025","4","",1223,13099,13008,12974,184389444,9586282,62317,1089,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",87,7.7,542,4.3,361,2.9,163,1.3,15119714,8.9,-301940,-3.1,6146,10.9,61,5.9
"01001","1","10","71","0","2025","4","",12,89,93,97,1490085,0,0,1232,"",2.02,0.38,0.40,0.42,0.37,0.00,0.00,0.91,"",1,9.1,0,0.0,-2,-2.1,-4,-4.0,-179618,-10.8,0,0.0,0,0.0,-120,-8.9
"01001","2","10","71","0","2025","4","",20,683,687,685,10813025,0,0,1214,"",2.79,1.65,1.67,1.68,1.76,0.00,0.00,1.05,"",0,0.0,15,2.2,5,0.7,5,0.7,551869,5.4,0,0.0,0,0.0,48,4.1
"01001","3","10","71","0","2025","4","",32,1964,1926,1921,26915500,3380,7,1069,"",1.88,1.55,1.53,1.53,1.77,0.02,0.02,1.15,"",0,0.0,35,1.8,12,0.6,4,0.2,1397189,5.5,-1038,-23.5,-2,-22.2,47,4.6
