"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2025","3","",165563,2114520,2118475,2118273,33392183917,1832544729,9760195,1213,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4729,2.9,14037,0.7,11897,0.6,11096,0.5,1390590026,4.3,-17392436,-0.9,-1440883,-12.9,43,3.7
"01000","1","10","51","0","2025","3","",1268,57691,57292,57265,1524284379,0,0,2042,"",1.55,1.43,1.45,1.45,1.64,0.00,0.00,1.14,"",-5,-0.4,-412,-0.7,-837,-1.4,-959,-1.6,23416758,1.6,0,0.0,0,0.0,57,2.9
"01000","2","10","51","0","2025","3","",1420,109423,110090,111771,1984464320,423192,846,1382,"",1.45,1.67,1.67,1.67,1.69,0.02,0.06,1.01,"",-5,-0.4,5425,5.2,5387,5.1,5519,5.2,155900307,8.5,384608,996.8,768,984.6,42,3.1
"01000","3","10","51","0","2025","3","",3815,222427,226018,229251,3279998569,12089266,34312,1117,"",1.64,1.25,1.20,1.13,1.23,0.35,0.61,1.03,"",17,0.4,4112,1.9,5012,2.3,4170,1.9,159575022,5.1,89556,0.7,-8148,-19.2,33,3.0
"01000","5","10","51","0","2025","3","",159060,1724979,1725075,1719986,26603436649,1820032271,9725037,1187,"",0.99,0.94,0.95,0.95,0.93,1.02,1.00,0.98,"",4722,3.1,4912,0.3,2335,0.1,2366,0.1,1051697939,4.1,-17866600,-1.0,-1433503,-12.8,44,3.8
"01000","8","10","96","0","2025","3","",6503,389541,393400,398287,6788747268,12512458,35158,1326,"",1.58,1.38,1.34,1.29,1.42,0.23,0.50,1.07,"",7,0.1,9125,2.4,9562,2.5,8730,2.2,338892087,5.3,474164,3.9,-7380,-17.3,36,2.8
"01001","0","10","70","0","2025","3","",1196,13036,13042,12897,167223775,10912362,60986,990,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",74,6.6,722,5.9,522,4.2,392,3.1,15860402,10.5,377909,3.6,-1819,-2.9,55,5.9
"01001","1","10","71","0","2025","3","",12,88,92,90,1690846,0,0,1445,"",2.03,0.35,0.38,0.37,0.36,0.00,0.00,0.99,"",0,0.0,-11,-11.1,-1,-1.1,-12,-11.8,-105786,-5.9,0,0.0,0,0.0,35,2.5
"01001","2","10","71","0","2025","3","",20,687,686,686,8740243,0,0,980,"",2.83,1.70,1.69,1.68,1.49,0.00,0.00,0.88,"",0,0.0,32,4.9,25,3.8,21,3.2,379325,4.5,0,0.0,0,0.0,6,0.6
"01001","3","10","71","0","2025","3","",32,1878,1894,1892,23880842,12620,25,973,"",1.90,1.72,1.63,1.54,1.79,0.06,0.07,1.10,"",0,0.0,24,1.3,-29,-1.5,-45,-2.3,716271,3.1,-539,-4.1,-1,-3.8,37,4.0
"01001","5","10","71","0","2025","3","",1132,10383,10370,10229,132911844,10899742,60961,990,"",0.97,0.92,0.92,0.93,0.93,1.03,1.01,1.00,"",74,7.0,677,7.0,527,5.4,428,4.4,14870592,12.6,378448,3.6,-1818,-2.9,62,6.7
"01003","0","10","70","0","2025","3","",9487,89906,88722,88522,1200531553,98929345,557139,1037,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",699,8.0,3026,3.5,2780,3.2,3645,4.3,108349655,9.9,4277527,4.5,11207,2.1,59,6.0
"01003","1","10","71","0","2025","3","",36,410,400,410,8585104,0,0,1624,"",0.77,0.24,0.24,0.25,0.26,0.00,0.00,1.06,"",0,0.0,16,4.1,2,0.5,7,1.7,772438,9.9,0,0.0,0,0.0,115,7.6
"01003","2","10","71","0","2025","3","",37,1097,1094,1191,14892224,0,0,1016,"",0.66,0.39,0.40,0.43,0.35,0.00,0.00,0.87,"",1,2.8,46,4.4,46,4.4,63,5.6,-209646,-1.4,0,0.0,0,0.0,-64,-5.9
"01003","3","10","71","0","2025","3","",98,9491,9686,10265,146160193,907974,1855,1146,"",0.73,1.26,1.23,1.21,1.53,0.49,0.57,1.24,"",2,2.1,339,3.7,396,4.3,385,3.9,10678772,7.9,134444,17.4,-3496,-65.3,42,3.8
"01003","5","10","71","0","2025","3","",9316,78908,77542,76656,1030894032,98021371,555284,1021,"",1.01,1.01,1.01,1.01,1.00,1.02,1.00,0.99,"",696,8.1,2625,3.4,2336,3.1,3190,4.3,97108091,10.4,4143083,4.4,14703,2.7,63,6.6
"01005","0","10","70","0","2025","3","",597,7740,7728,7607,88388089,6045355,31496,884,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,1.0,-66,-0.8,-46,-0.6,-134,-1.7,-483381,-0.5,-1029209,-14.5,-13584,-30.1,5,0.6
"01005","1","10","71","0","2025","3","",9,51,52,52,873103,0,0,1300,"",3.05,0.35,0.36,0.37,0.36,0.00,0.00,0.99,"",0,0.0,3,6.2,7,15.6,2,4.0,24665,2.9,0,0.0,0,0.0,-69,-5.0
"01005","2","10","71","0","2025","3","",17,484,488,494,6502883,0,0,1024,"",4.82,2.01,2.03,2.05,2.10,0.00,0.00,1.03,"",-1,-5.6,-2,-0.4,8,1.7,16,3.3,-804797,-11.0,0,0.0,0,0.0,-144,-12.3
"01005","3","10","71","0","2025","3","",30,935,978,947,11429816,82675,534,922,"",3.57,1.44,1.42,1.30,1.62,0.72,2.93,1.17,"",-1,-3.2,12,1.3,12,1.2,3,0.3,-855650,-7.0,-2791,-3.3,109,25.6,-79,-7.9
"01005","5","10","71","0","2025","3","",541,6270,6210,6114,69582287,5962680,30962,864,"",0.93,0.94,0.93,0.94,0.92,1.02,0.99,0.98,"",8,1.5,-79,-1.2,-73,-1.2,-155,-2.5,1152401,1.7,-1026418,-14.7,-13693,-30.7,29,3.5
"01007","0","10","70","0","2025","3","",470,4863,5043,5124,69907471,4003171,15807,1073,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",22,4.9,137,2.9,165,3.4,253,5.2,7230594,11.5,100836,2.6,-11618,-42.4,74,7.4
"01007","1","10","71","0","2025","3","",9,69,71,69,1657670,0,0,1830,"",3.88,0.75,0.75,0.72,0.85,0.00,0.00,1.15,"",0,0.0,5,7.8,3,4.4,-1,-1.4,48674,3.0,0,0.0,0,0.0,-8,-0.4
"01007","2","10","71","0","2025","3","",12,260,255,247,5238646,0,0,1587,"",4.32,1.72,1.63,1.53,2.14,0.00,0.00,1.32,"",0,0.0,50,23.8,44,20.9,29,13.3,1916591,57.7,0,0.0,0,0.0,387,32.2
"01007","3","10","71","0","2025","3","",30,928,1002,1023,11391039,52795,105,890,"",4.54,2.28,2.23,2.09,2.04,0.70,1.15,0.93,"",0,0.0,-55,-5.6,-42,-4.0,-3,-0.3,312529,2.8,12627,31.4,25,31.2,53,6.3
"01007","5","10","71","0","2025","3","",419,3606,3715,3785,51620116,3950376,15702,1073,"",0.91,0.86,0.86,0.86,0.86,1.02,1.00,1.00,"",22,5.5,137,3.9,160,4.5,228,6.4,4952800,10.6,88209,2.3,-11643,-42.6,55,5.4
"01009","0","10","70","0","2025","3","",1017,9102,9161,9236,108687155,7543791,42576,912,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",66,6.9,1,0.0,112,1.2,145,1.6,5905219,5.7,-12461,-0.2,-4770,-10.1,41,4.7
"01009","1","10","71","0","2025","3","",10,77,84,79,1470284,0,0,1414,"",1.99,0.44,0.49,0.46,0.49,0.00,0.00,1.05,"",0,0.0,0,0.0,9,12.0,2,2.6,31411,2.2,0,0.0,0,0.0,-36,-2.5
"01009","2","10","71","0","2025","3","",14,334,332,333,4385253,0,0,1013,"",2.33,1.18,1.17,1.14,1.15,0.00,0.00,0.99,"",2,16.7,175,110.1,183,122.8,183,122.0,2582583,143.3,0,0.0,0,0.0,105,11.6
